channel_id,channel_name,sum_data/dpi/sum,sum_data/dpi/proportion,sum_data/fans/sum,sum_data/fans/proportion,sum_data/contents/sum,sum_data/contents/proportion,sum_data/impressions/sum,sum_data/impressions/proportion,sum_data/reach/sum,sum_data/reach/proportion,sum_data/engagement/sum,sum_data/engagement/proportion,detail_data/dpi/month/date,detail_data/dpi/month/value,detail_data/dpi/daily/date,detail_data/dpi/daily/value,detail_data/fans/month/date,detail_data/fans/month/value,detail_data/fans/daily/date,detail_data/fans/daily/value,detail_data/contents/month/date,detail_data/contents/month/value,detail_data/contents/daily/date,detail_data/contents/daily/value,detail_data/impressions/month/date,detail_data/impressions/month/value,detail_data/impressions/daily/date,detail_data/impressions/daily/value,detail_data/reach/month/date,detail_data/reach/month/value,detail_data/reach/daily/date,detail_data/reach/daily/value,detail_data/engagement/month/date,detail_data/engagement/month/value,detail_data/engagement/daily/date,detail_data/engagement/daily/value
abdc1434,_________,832834,0.308581956,919777,0.497905852,1069845,0.339479328,1083192,0.489968952,4854/10,0.349667578,1092790,0.411089744,2019/10,46648,2020/08/01,693,2019/10,56741,2020/08/01,8042,2019/10,94098,2020/08/01,3337,2019/10,74836,2020/08/01,119,2019/10,71187,2020/08/01,1354,2019/10,13987,2020/08/01,6930
,,,,,,,,,,,,,,2019/11,11250,2020/08/02,5502,2019/11,9574,2020/08/02,6241,2019/11,8499,2020/08/02,4671,2019/11,83222,2020/08/02,7452,2019/11,71375,2020/08/02,4956,2019/11,49378,2020/08/02,8533
,,,,,,,,,,,,,,2019/12,48413,2020/08/03,9842,2019/12,13078,2020/08/03,9287,2019/12,17710,2020/08/03,33,2019/12,655,2020/08/03,4101,2019/12,72412,2020/08/03,2364,2019/12,84213,2020/08/03,272
,,,,,,,,,,,,,,2020/01,7320,2020/08/04,1941,2020/01,29281,2020/08/04,5766,2020/01,93862,2020/08/04,4392,2020/01,65895,2020/08/04,4075,2020/01,55191,2020/08/04,3633,2020/01,67439,2020/08/04,3350
,,,,,,,,,,,,,,2020/02,44091,2020/08/05,7412,2020/02,20538,2020/08/05,5091,2020/02,43439,2020/08/05,1679,2020/02,93999,2020/08/05,306,2020/02,8366,2020/08/05,8116,2020/02,68105,2020/08/05,5545
,,,,,,,,,,,,,,2020/03,75412,2020/08/06,9929,2020/03,30045,2020/08/06,7678,2020/03,85808,2020/08/06,1691,2020/03,57303,2020/08/06,7344,2020/03,74674,2020/08/06,4762,2020/03,72648,2020/08/06,6698
,,,,,,,,,,,,,,2020/04,75108,2020/08/07,7383,2020/04,63330,2020/08/07,5166,2020/04,65351,2020/08/07,3861,2020/04,47474,2020/08/07,2123,2020/04,68776,2020/08/07,7927,2020/04,40599,2020/08/07,5697
,,,,,,,,,,,,,,2020/05,10996,2020/08/08,6316,2020/05,66479,2020/08/08,2467,2020/05,97263,2020/08/08,7005,2020/05,40185,2020/08/08,9152,2020/05,58324,2020/08/08,8083,2020/05,66215,2020/08/08,611
,,,,,,,,,,,,,,2020/06,43278,2020/08/09,6196,2020/06,77346,2020/08/09,3724,2020/06,44251,2020/08/09,2010,2020/06,80979,2020/08/09,4159,2020/06,46596,2020/08/09,8118,2020/06,93014,2020/08/09,4605
,,,,,,,,,,,,,,2020/07,19244,2020/08/10,3935,2020/07,48940,2020/08/10,2954,2020/07,69015,2020/08/10,6865,2020/07,98753,2020/08/10,8149,2020/07,46439,2020/08/10,3415,2020/07,75663,2020/08/10,3237
,,,,,,,,,,,,,,2020/08,169169,2020/08/11,6863,2020/08,176929,2020/08/11,194,2020/08,140407,2020/08/11,7606,2020/08,155529,2020/08/11,9746,2020/08,148668,2020/08/11,6405,2020/08,155593,2020/08/11,3541
,,,,,,,,,,,,,,2020/09,154936,2020/08/12,5104,2020/09,205733,2020/08/12,2608,2020/09,158173,2020/08/12,691,2020/09,145784,2020/08/12,9527,2020/09,164822,2020/08/12,2593,2020/09,148370,2020/08/12,695
,,,,,,,,,,,,,,2020/10,126969,2020/08/13,8014,2020/10,121763,2020/08/13,3669,2020/10,151969,2020/08/13,7949,2020/10,138578,2020/08/13,7825,2020/10,192398,2020/08/13,814,2020/10,157566,2020/08/13,7383
,,,,,,,,,,,,,,,,2020/08/14,6665,,,2020/08/14,8744,,,2020/08/14,9684,,,2020/08/14,2794,,,2020/08/14,7300,,,2020/08/14,1082
,,,,,,,,,,,,,,,,2020/08/15,8744,,,2020/08/15,7689,,,2020/08/15,4085,,,2020/08/15,5397,,,2020/08/15,761,,,2020/08/15,8352
,,,,,,,,,,,,,,,,2020/08/16,3229,,,2020/08/16,3547,,,2020/08/16,1977,,,2020/08/16,474,,,2020/08/16,2938,,,2020/08/16,8567
,,,,,,,,,,,,,,,,2020/08/17,8495,,,2020/08/17,4230,,,2020/08/17,9200,,,2020/08/17,3798,,,2020/08/17,8068,,,2020/08/17,5711
,,,,,,,,,,,,,,,,2020/08/18,6604,,,2020/08/18,9567,,,2020/08/18,2451,,,2020/08/18,2232,,,2020/08/18,8000,,,2020/08/18,3305
,,,,,,,,,,,,,,,,2020/08/19,358,,,2020/08/19,9262,,,2020/08/19,968,,,2020/08/19,5508,,,2020/08/19,2341,,,2020/08/19,8455
,,,,,,,,,,,,,,,,2020/08/20,6282,,,2020/08/20,2836,,,2020/08/20,3719,,,2020/08/20,5568,,,2020/08/20,7017,,,2020/08/20,7132
,,,,,,,,,,,,,,,,2020/08/21,7021,,,2020/08/21,8407,,,2020/08/21,4123,,,2020/08/21,6610,,,2020/08/21,6736,,,2020/08/21,3800
,,,,,,,,,,,,,,,,2020/08/22,2690,,,2020/08/22,2480,,,2020/08/22,9856,,,2020/08/22,2833,,,2020/08/22,4920,,,2020/08/22,998
