Time,ICS,ICC,ICE,Year
1/3/07,80.45125,98.5025,68.8525,7
1/4/07,79.82935484,96.00032258,69.44064516,7
1/5/07,81.98245614,104.9105263,67.25315789,7
1/6/07,67.83,87.64789474,55.09815789,7
1/7/07,82.24289474,88.64315789,78.12868421,7
1/8/07,71.71258065,96,56.10935484,7
1/9/07,79.5612,95.854,69.0956,7
1/10/07,92.52038462,105.3442308,84.28,7
1/11/07,89.67384615,98.06692308,84.28,7
1/12/07,74.665,89.72954545,64.985,7
1/13/07,100.6806667,125.6253333,84.654,7
1/14/07,66.14285714,86.69904762,52.9352381,7
1/15/07,85.58823529,99.95,76.36,7
1/16/07,70.09,85.256,60.344,7
1/17/07,51.34111111,77.68777778,34.41333333,7
1/18/07,93.28,96.61166667,91.13666667,7
1/19/07,70.45875,68.2275,71.89125,7
1/20/07,68.609,81.473,60.344,7
1/21/07,87.852,92.827,84.654,7
1/22/07,64.38071429,66.87571429,62.775,7
1/23/07,81.931,104.18,67.637,7
1/24/07,85.87833333,96.61166667,78.98166667,7
1/25/07,79.71,68.2275,87.085,7
1/26/07,97.15642857,91.205,100.9764286,7
1/27/07,55.65875,87.15,35.42625,7
1/28/07,66.14066667,85.258,53.86133333,7
1/29/07,72.31,77.68875,68.8525,7
1/31/07,82.48625,91.879375,76.449375,7
2/1/07,68.38484848,74.24909091,64.61666667,7
2/2/07,65.39698113,84.1154717,53.37207547,7
2/3/07,74.9137037,86.09814815,67.72703704,7
2/4/07,72.42272727,81.12878788,66.82666667,7
2/5/07,73.235,97.79375,57.4571875,7
2/6/07,70.52814815,90.30333333,57.82296296,7
2/7/07,64.59142857,78.76971429,55.482,7
2/8/07,54.63,69.27888889,45.21777778,7
2/9/07,67.43947368,87.64789474,54.45842105,7
2/10/07,76.00916667,102.9183333,58.72333333,7
2/11/07,63.428,70.1205,59.1285,7
2/12/07,73.789,100.3945,56.6975,7
2/13/07,70.0885,83.3645,61.5595,7
2/14/07,76.01,82.42,71.89125,7
2/15/07,80.24,77.68857143,81.87571429,7
2/16/07,61.2075,63.49625,59.73625,7
2/17/07,72.30833333,87.15,62.775,7
2/18/07,79.3,86.1,74.93,7
2/19/07,85.42909091,101.7718182,74.93,7
2/20/07,72.30875,84.785,64.294375,7
2/21/07,77.06642857,80.39214286,74.93,7
2/22/07,71.07666667,86.09777778,61.42444444,7
2/23/07,71.89722222,81.89333333,65.47611111,7
2/24/07,67.129,47.413,79.792,7
2/25/07,70.8285,75.797,67.637,7
2/27/07,72.71944444,94.50777778,58.72333333,7
2/28/07,64.168,82.419,52.44325,7
3/1/07,63.81941176,86.59323529,49.19,7
3/2/07,58.4662963,76.28740741,47.01851852,7
3/3/07,72.83761905,84.89690476,65.0902381,7
3/4/07,69.46906977,78.56813953,63.62302326,7
3/5/07,81.11413793,97.26344828,70.73862069,7
3/6/07,73.19047619,97.51238095,57.56571429,7
3/7/07,84.08363636,101.7709091,72.72,7
3/8/07,71.38375,82.419375,64.294375,7
3/9/07,74.45210526,85.65631579,67.25315789,7
3/10/07,64.62538462,74.77769231,58.1,7
3/11/07,53.80625,77.68875,38.465,7
3/12/07,73.05,100.396,55.482,7
3/13/07,59.09285714,88.50285714,40.20142857,7
3/14/07,61.20714286,72.28142857,54.09285714,7
3/15/07,66.58909091,84.57,55.04,7
3/16/07,61.20769231,86.42230769,45.01,7
3/17/07,69.66714286,80.39142857,62.775,7
3/18/07,68.60875,72.9575,65.81375,7
3/19/07,80.451,96.611,70.068,7
3/20/07,72.31,110.80375,47.58125,7
3/21/07,76.01083333,93.45833333,64.80083333,7
3/22/07,64.69117647,86.59235294,50.62,7
3/24/07,63.32142857,61.46928571,64.51142857,7
3/25/07,114.498,138.24,99.24,7
3/26/07,51.34111111,52.45888889,50.62,7
3/27/07,65.014,78.77028571,56.17657143,7
3/28/07,64.40918919,81.78027027,53.24810811,7
3/29/07,59.97458333,80.05375,47.07479167,7
3/30/07,75.05516129,89.89677419,65.51967742,7
3/31/07,71.50521739,79.33478261,66.47434783,7
4/1/07,53.04137931,65.9437931,44.75206897,7
4/2/07,61.20741935,63.03935484,60.03032258,7
4/3/07,65.56176471,91.04529412,49.19,7
4/4/07,68.11533333,80.21066667,60.344,7
4/5/07,92.15636364,108.6509091,81.56,7
4/6/07,61.20764706,64.33117647,59.2,7
4/7/07,65.10421053,85.65631579,51.89947368,7
4/8/07,60.0232,95.8544,37.0064,7
4/9/07,52.98444444,52.45777778,53.32111111,7
4/10/07,67.78888889,77.68777778,61.42444444,7
4/11/07,40.06142857,45.25,36.72857143,7
4/12/07,65.24454545,70.80727273,61.67,7
4/13/07,57.50625,87.15125,38.465,7
4/14/07,64.90833333,83.99583333,52.64583333,7
4/15/07,58.248,67.59533333,52.24066667,7
4/16/07,59.35875,68.2275,53.65875,7
4/17/07,56.97714286,77.68857143,43.67428571,7
4/18/07,78.47666667,90.30333333,70.87833333,7
4/19/07,82.35428571,99.31571429,71.45714286,7
4/20/07,51.78909091,57.04636364,48.41,7
4/21/07,51.34,57.50466667,47.37866667,7
4/22/07,50.91086957,66.17086957,41.1073913,7
4/23/07,67.127,77.688,60.344,7
4/24/07,76.99666667,102.9186667,60.344,7
4/25/07,62.49521739,72.75173913,55.90478261,7
