date,vader,textblob,Year
1/4/07,0,0,7
1/5/07,0,0.213068182,7
1/6/07,0,0.213068182,7
1/8/07,0.6369,0.5,7
1/9/07,0,0.213068182,7
1/10/07,0,0.213068182,7
1/11/07,0.7096,0.5,7
1/12/07,-0.4389,0.085227273,7
1/13/07,0.3802,0.4375,7
1/14/07,0,0,7
1/16/07,0.2427,0.18828125,7
1/17/07,0,0,7
1/18/07,-0.5095,0.233333333,7
1/20/07,0.5719,0.516666667,7
1/21/07,-0.4404,-0.6,7
1/22/07,-0.2732,0,7
1/23/07,0.5859,0,7
1/24/07,0.5719,0.2,7
1/25/07,0,0,7
1/26/07,-0.6705,-0.183333333,7
1/27/07,0,0,7
1/28/07,0,0,7
1/29/07,0,0,7
1/30/07,0,0,7
1/31/07,-0.5719,-0.5,7
2/1/07,-0.5719,-0.5,7
2/2/07,0.4404,0.175,7
2/4/07,0,0,7
2/5/07,0.7906,0.5,7
2/6/07,-0.6341,-1,7
2/7/07,0.2023,0,7
2/8/07,-0.4404,-0.6,7
2/9/07,0,0,7
2/10/07,0.2263,-0.5,7
2/11/07,-0.296,0.2,7
2/12/07,0,0,7
2/13/07,0,0,7
2/14/07,0.5093,0.5,7
2/15/07,0.792,0.8125,7
2/16/07,0.5574,0.5,7
2/17/07,0,0,7
2/18/07,0,0,7
2/20/07,0,0,7
2/21/07,0,0,7
2/22/07,0.5653,0.110491071,7
2/23/07,-0.1872,-1,7
2/24/07,0.75,0.6875,7
2/25/07,0.4902,0.5,7
2/26/07,-0.5023,0.2,7
2/27/07,0.296,0,7
2/28/07,0.0516,-0.176923077,7
3/1/07,-0.1027,-0.145833333,7
3/2/07,-0.5719,-0.8,7
3/3/07,-0.4404,-0.6,7
3/6/07,0,0,7
3/7/07,0,0,7
3/8/07,0,-0.4,7
3/9/07,0.7184,0.7,7
3/10/07,0,0,7
3/11/07,-0.4215,0.1,7
3/12/07,0,0.136363636,7
3/13/07,0.6249,0.5,7
3/14/07,0,-0.3,7
3/15/07,0,0,7
3/16/07,0.3802,0.0125,7
3/17/07,0,0,7
3/18/07,0,0,7
3/19/07,0,0,7
3/20/07,-0.4391,-0.78,7
3/21/07,-0.4404,-0.6,7
3/22/07,0,-0.125,7
3/23/07,0,0.083333333,7
3/24/07,0.2023,0,7
3/25/07,-0.2748,-0.19,7
3/26/07,0,0,7
3/27/07,-0.3182,0.25,7
3/28/07,0.3818,0.233333333,7
3/29/07,-0.3612,0.1,7
3/30/07,0,0,7
3/31/07,0.2382,0.325,7
4/1/07,-0.6124,-0.25,7
4/2/07,0.6369,0.3,7
4/3/07,0,0,7
4/4/07,0,0,7
4/5/07,0,0.5,7
4/6/07,-0.5719,-0.8,7
4/7/07,0,-0.166666667,7
4/9/07,0.1372,-0.1,7
4/10/07,0.8481,0.275,7
4/11/07,0,0,7
4/12/07,0.7269,0.275,7
